treatment,control,metric,n,mean_diff,t_p,wilcoxon_p,perm_p,cohen_d,cliffs_delta,n_samples,n_seeds,seed_std_diff,t_p_holm,wilcoxon_p_holm,perm_p_holm,subset
AIPA (full),Naive fusion,NDCG@10,6360,-0.002759095833370056,0.1827090241911374,0.7114735281209732,0.175912043978011,-0.016709869803351405,-0.001430496222459554,1272,5,0.0039479660243383905,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),SASRec,NDCG@10,6360,0.038308244303057744,1.348626429140998e-52,2.3882107546835296e-29,0.0004997501249375312,0.19316076078453628,0.07514578636129894,1272,5,0.006783110422569358,1.6183517149691977e-51,2.8658529056202354e-28,0.006496751624187906,conflict_natural_broad
AIPA (full),STI-only,NDCG@10,6360,-0.009755874984501055,1.2922723560335993e-05,0.0009058950265516787,0.0004997501249375312,-0.05473186732327635,-0.016585602824255308,1272,5,0.006996161933222692,0.00011630451204302394,0.008153055238965107,0.006496751624187906,conflict_natural_broad
AIPA (full),Sequential (GRU),NDCG@10,6360,0.032051343772296306,5.87309552351531e-41,4.575199398968311e-22,0.0004997501249375312,0.16925341428718593,0.06649961927930066,1272,5,0.004169521891801262,6.4604050758668405e-40,5.032719338865142e-21,0.006496751624187906,conflict_natural_broad
AIPA (full),AIPA (rule policy),Hit@10,1130,0.01415929203539823,0.23059166021145525,0.4100839788025362,0.25837081459270367,0.03568248222699395,0.01415929203539823,226,5,0.02381172397712161,1.0,1.0,1.0,conflict_synthetic
AIPA (full),AIPA w/o clarification,Hit@10,1130,0.0035398230088495575,0.7105217587976363,0.829015064136176,0.7781109445277361,0.011043990678930972,0.0035398230088495575,226,5,0.010982012076098103,1.0,1.0,1.0,conflict_synthetic
AIPA (full),AIPA w/o counterfactual,Hit@10,1130,0.004424778761061947,0.7087904977362027,0.7970024791856838,0.7566216891554223,0.011113193001882878,0.004424778761061954,226,5,0.03215203915855743,1.0,1.0,1.0,conflict_synthetic
AIPA (full),AIPA w/o persistence,Hit@10,1130,0.0,,,,,,226,5,0.0,,,,conflict_synthetic
AIPA (full),AIPA w/o relationship,Hit@10,1130,0.0035398230088495575,0.7618562796077696,0.8363582587558281,0.8065967016491754,0.009017197164467342,0.0035398230088495575,226,5,0.030579031049860168,1.0,1.0,1.0,conflict_synthetic
AIPA (full),Adaptive fusion,Hit@10,1130,-0.017699115044247787,0.13827761610929795,0.3046021576251101,0.1489255372313843,-0.04412508780462133,-0.017699115044247787,226,5,0.032515350567918294,1.0,1.0,1.0,conflict_synthetic
AIPA (full),Conversation-aware,Hit@10,1130,0.019469026548672566,0.11238921772027083,0.26231813829994,0.11544227886056972,0.04726346447000698,0.01946902654867258,226,5,0.022665926504187073,1.0,1.0,1.0,conflict_synthetic
AIPA (full),KBRD-style,Hit@10,1130,-0.011504424778761062,0.3617774540050497,0.511162962551534,0.39730134932533734,-0.02714087845262787,-0.011504424778761041,226,5,0.02142251050780567,1.0,1.0,1.0,conflict_synthetic
AIPA (full),LTP-only,Hit@10,1130,0.21946902654867256,4.222777263785027e-59,2.957937661467223e-33,0.0004997501249375312,0.511842279230152,0.21946902654867256,226,5,0.019103569154799032,4.6450549901635294e-58,3.2537314276139455e-32,0.006496751624187906,conflict_synthetic
AIPA (full),Naive fusion,Hit@10,1130,0.009734513274336283,0.40048003417085615,0.5691500506985019,0.4432783608195902,0.02502068393881814,0.009734513274336276,226,5,0.04088074146000388,1.0,1.0,1.0,conflict_synthetic
AIPA (full),SASRec,Hit@10,1130,0.2398230088495575,1.3646995965120399e-67,1.344533069332025e-38,0.0004997501249375312,0.5534287672855155,0.23982300884955754,226,5,0.02364670657679183,1.774109475465652e-66,1.7478929901316324e-37,0.006496751624187906,conflict_synthetic
AIPA (full),STI-only,Hit@10,1130,0.008849557522123894,0.4433457869859947,0.6045014862512208,0.48225887056471767,0.02281167286454582,0.00884955752212388,226,5,0.01813619604594619,1.0,1.0,1.0,conflict_synthetic
AIPA (full),Sequential (GRU),Hit@10,1130,0.23008849557522124,6.457020987168369e-63,6.681989309755427e-36,0.0004997501249375312,0.5307533355835143,0.23008849557522126,226,5,0.02238780644366993,7.748425184602042e-62,8.018387171706512e-35,0.006496751624187906,conflict_synthetic
